#Temperature,GStar,GStarEntropic
100000000000000.0,224.000407526239,224.000407526239
9048374180.35958,224.000407526237,224.000407526237
8187307530.77983,224.000407526235,224.000407526235
7408182206.81721,224.000407526232,224.000407526232
6703200460.35645,224.000407526229,224.000407526229
6065306597.12642,224.000407526225,224.000407526225
5488116360.94037,224.00040752622,224.00040752622
4965853037.91423,224.000407526214,224.000407526214
4493289641.17238,224.000407526206,224.000407526206
4065696597.40619,224.000407526197,224.000407526197
3675117456.08717,224.000407526186,224.000407526186
3322060068.29276,224.000407526172,224.000407526172
3002919832.961,224.000407526155,224.000407526155
2714438432.12165,224.000407526135,224.000407526135
2453670564.52979,224.00040752611,224.00040752611
2217953875.0983,224.000407526079,224.000407526079
2004881773.11869,224.000407526041,224.000407526041
1812278861.75291,224.000407525995,224.000407525995
1638178727.9394,224.000407525938,224.000407525938
1480803865.95554,224.000407525869,224.000407525869
1338547529.66249,224.000407525784,224.000407525784
1209957328.1499,224.00040752568,224.00040752568
1093720397.29724,224.000407525553,224.000407525553
988649995.858279,224.000407525397,224.000407525397
893673389.219052,224.000407525207,224.000407525207
807820897.126479,224.000407524974,224.000407524974
730215993.568468,224.000407524689,224.000407524689
660066357.728501,224.00040752434,224.00040752434
596655784.647889,224.000407523913,224.000407523913
539336873.006154,224.000407523391,224.000407523391
487524415.364186,224.000407522751,224.000407522751
440689423.38668,224.000407521969,224.000407521969
398353727.043347,224.000407521011,224.000407521011
360085092.648473,224.000407519839,224.000407519839
325492809.895615,224.000407518404,224.000407518404
294223702.832495,224.000407516648,224.000407516648
265958524.049427,224.000407514499,224.000407514499
240408695.267137,224.000407511868,224.000407511868
217313361.046417,224.000407508649,224.000407508649
196436725.538962,224.00040750471,224.00040750471
177743299.545965,224.000407499941,224.000407499941
160828788.236457,224.000407494117,224.000407494117
145523905.496103,224.000407487004,224.000407487004
131675474.914297,224.000407478316,224.000407478316
119144896.74317,224.000407467704,224.000407467704
